Time(Local),Import,Export,Flow from NO
01.01.2025 00:00:00 +01:00,0.00,0.00,0.00
01.01.2025 01:00:00 +01:00,6182.72,75.20,-6107.52
01.01.2025 02:00:00 +01:00,5333.30,53.48,-5279.83
01.01.2025 03:00:00 +01:00,5270.82,0.00,-5270.82
01.01.2025 04:00:00 +01:00,4677.57,7.98,-4669.59
01.01.2025 05:00:00 +01:00,5034.35,0.60,-5033.75
01.01.2025 06:00:00 +01:00,6475.29,2.21,-6473.08
01.01.2025 07:00:00 +01:00,7052.41,0.00,-7052.41
01.01.2025 08:00:00 +01:00,6765.14,1.28,-6763.86
01.01.2025 09:00:00 +01:00,6179.85,57.17,-6122.68
01.01.2025 10:00:00 +01:00,6013.14,500.08,-5513.06
01.01.2025 11:00:00 +01:00,5658.50,967.20,-4691.30
01.01.2025 12:00:00 +01:00,5281.56,1405.70,-3875.86
01.01.2025 13:00:00 +01:00,5145.56,1493.92,-3651.64
01.01.2025 14:00:00 +01:00,5659.49,1447.47,-4212.02
01.01.2025 15:00:00 +01:00,6021.50,1553.95,-4467.55
01.01.2025 16:00:00 +01:00,6310.84,1887.78,-4423.05
01.01.2025 17:00:00 +01:00,6089.11,2103.62,-3985.48
01.01.2025 18:00:00 +01:00,6171.58,2103.68,-4067.90
01.01.2025 19:00:00 +01:00,6228.27,2089.15,-4139.12
01.01.2025 20:00:00 +01:00,6138.32,2076.01,-4062.31
01.01.2025 21:00:00 +01:00,5920.86,1857.24,-4063.63
01.01.2025 22:00:00 +01:00,5427.04,2102.87,-3324.17
01.01.2025 23:00:00 +01:00,5536.12,2012.52,-3523.59
02.01.2025 00:00:00 +01:00,4911.42,2148.26,-2763.16
02.01.2025 01:00:00 +01:00,4930.80,2078.84,-2851.96
02.01.2025 02:00:00 +01:00,5051.14,2146.68,-2904.47
02.01.2025 03:00:00 +01:00,4794.56,2125.01,-2669.56
02.01.2025 04:00:00 +01:00,3165.42,2155.32,-1010.10
02.01.2025 05:00:00 +01:00,1058.08,2325.06,1266.98
02.01.2025 06:00:00 +01:00,261.58,3502.04,3240.46
02.01.2025 07:00:00 +01:00,238.94,3856.33,3617.38
02.01.2025 08:00:00 +01:00,567.91,4269.36,3701.44
02.01.2025 09:00:00 +01:00,243.41,4985.74,4742.34
02.01.2025 10:00:00 +01:00,331.16,5012.65,4681.49
02.01.2025 11:00:00 +01:00,464.59,4998.60,4534.02
02.01.2025 12:00:00 +01:00,247.68,4969.19,4721.51
02.01.2025 13:00:00 +01:00,163.54,5000.75,4837.21
02.01.2025 14:00:00 +01:00,180.68,5091.90,4911.22
02.01.2025 15:00:00 +01:00,202.17,5424.74,5222.56
02.01.2025 16:00:00 +01:00,311.44,5201.69,4890.25
02.01.2025 17:00:00 +01:00,505.59,4913.10,4407.50
02.01.2025 18:00:00 +01:00,663.78,4880.98,4217.20
02.01.2025 19:00:00 +01:00,144.18,4859.17,4715.00
02.01.2025 20:00:00 +01:00,119.06,4582.14,4463.08
02.01.2025 21:00:00 +01:00,72.52,4562.86,4490.34
02.01.2025 22:00:00 +01:00,76.51,4820.61,4744.10
02.01.2025 23:00:00 +01:00,0.00,5114.46,5114.46
03.01.2025 00:00:00 +01:00,12.30,5337.47,5325.17
03.01.2025 01:00:00 +01:00,255.53,5127.96,4872.42
03.01.2025 02:00:00 +01:00,670.38,4967.50,4297.13
03.01.2025 03:00:00 +01:00,842.07,4543.19,3701.12
03.01.2025 04:00:00 +01:00,957.58,4053.60,3096.02
03.01.2025 05:00:00 +01:00,657.24,3961.28,3304.04
03.01.2025 06:00:00 +01:00,170.99,4086.00,3915.00
03.01.2025 07:00:00 +01:00,0.00,4475.26,4475.26
03.01.2025 08:00:00 +01:00,0.78,4637.26,4636.48
03.01.2025 09:00:00 +01:00,217.36,3791.54,3574.18
03.01.2025 10:00:00 +01:00,188.90,4169.19,3980.30
03.01.2025 11:00:00 +01:00,316.96,4415.48,4098.52
03.01.2025 12:00:00 +01:00,145.95,4348.94,4202.99
03.01.2025 13:00:00 +01:00,326.64,4154.38,3827.74
03.01.2025 14:00:00 +01:00,824.42,4517.14,3692.72
03.01.2025 15:00:00 +01:00,648.72,4662.10,4013.39
03.01.2025 16:00:00 +01:00,621.46,4006.05,3384.60
03.01.2025 17:00:00 +01:00,1059.76,4693.56,3633.80
03.01.2025 18:00:00 +01:00,971.18,4884.31,3913.12
