period,wedge_bin_nok_kwh,effect_log,effect_percent,mean_wedge_nok_kwh,n_hour_strata
Norgespris 2025–26,≤ 0,0.008472821749523204,0.8508817694309622,-0.21138629440101467,1767
Norgespris 2025–26,0–0.25,0.016615209993870596,1.6754010261742627,0.15875545352280124,3783
Norgespris 2025–26,0.25–0.50,0.03140963682500228,3.1908124888023552,0.3882189100164948,39651
Norgespris 2025–26,0.50–0.75,0.04200750427140839,4.2902304943347,0.5492232170805597,591
Placebo 2024–25,≤ 0,0.0054085318567235465,0.5423184369429701,-0.12193052596844242,11445
Placebo 2024–25,0–0.25,0.000971293406268207,0.097176526446729,0.11432108613397338,23328
Placebo 2024–25,0.25–0.50,0.0006660118288640995,0.06662336639877317,0.3725468890325426,10569
Placebo 2024–25,0.50–0.75,-0.0059160482896825,-0.5898582934933594,0.5718237720774383,393
Placebo 2024–25,> 0.75,-0.03457263156243706,-3.398182627090967,0.8774224049426785,51
