modell,N,R2_within,R2_overall
M1 NRK-lik,10047,0.9410390187863116,0.13174331185844435
"M1b NRK-lik, per målepunkt",10047,0.9407959920922315,0.282693173221062
M2 + kalendermåned,10047,0.9623228977876899,0.07169841536539245
"M2b + kalendermåned, per målepunkt",10047,0.9628909794472506,0.15407346787014253
"M3 år×måned-FE, andel Norgespris (Privat)",10047,0.6331477119070523,0.010433310183426081
"M4 som M3, per målepunkt",10047,0.6314394138289519,0.09183960977247241
"M4b som M4, husholdningsandel",10047,0.6108309723597443,0.08217745680177324
M5 placebo 2024-10 (data ≤ 2025-09),8668,0.9504732588725314,0.09239586079540674
"M5b placebo, per målepunkt",8668,0.9503708548412402,0.20725368045919546
