spes,koef,se,p,n,r2,r2_adj,r2_adj_lm,r2_absorbert,df_absorbert,df_modell,df_resid,placebo_koef,placebo_se,placebo_p,placebo_n,pst_per_10pp_hytte,placebo_pst_per_10pp
H1,0.0013553267319485023,0.00025590968964738306,1.1829340440527858e-07,10047,0.9969725422888936,0.9968959134348057,0.9968959134348057,0.24689563650428992,247,249,9798,1.380131879310157e-05,7.323445552966878e-05,0.8505208500742714,8668,1.3645529192417127,0.013802271218921192
H2,0.0014047025299224164,0.0002521829386205428,2.544869004417194e-08,10047,0.9971873129199595,0.9970857823426066,0.9970857823426066,0.15687553857205128,349,351,9696,1.8241030027874848e-06,7.212626500486848e-05,0.9798233211069487,8668,1.414614834326211,0.0018241196396484582
H3,0.0004094669830069281,0.00024968694363042184,0.10102149332371124,10047,0.9988095065836078,0.9983690581124948,0.9983690581124948,0.018353487072121588,2712,2714,7333,-0.0001494091719868933,6.548692959283399e-05,0.022518206902390592,8668,0.4103064444391791,-0.1492976120507028
H4,0.00042752820936944316,0.0002512184737619419,0.08878942487549524,10047,0.9988359803902745,0.9983615327169256,0.9983615327169256,0.005257918293678943,2909,2910,7137,-8.380853690162916e-05,7.307615697897819e-05,0.25143713639379595,8668,0.42844341500776206,-0.0837734273562929
H5,0.0006299843395201025,0.0002794122504559108,0.02415361824456652,10047,0.9988547595394739,0.9983866097789307,0.9983866097789307,0.021306110103495923,2909,2916,7131,-0.00017029407529883635,9.973779742232787e-05,0.08774445281473109,8668,0.6319729145708886,-0.17014915721240698
H6,0.0008397229432084501,0.0002983907551980389,0.004890303707004717,10047,0.9991520563239072,0.9987714966584904,0.9987714966584904,0.025580965189579863,3106,3113,6934,6.075471976767624e-05,0.00010891593597824464,0.5769721174203544,8668,0.8432585056959985,0.06077317918566916
H7,0.0003745910843741785,0.00024201439165620094,0.1216692534280357,10047,0.999687450382743,0.9995596867963871,0.9995596867963871,0.035788070509677805,2909,2916,7131,-0.000206061214000331,9.459581060777345e-05,0.029381224078417034,8668,0.37529355363183914,-0.20584905363252304
