modell,term,koef,se,p_t,klustre,n,pst,hva
E1 felles sesong,tidlig_post,0.03094094062455159,1.085806855110294e-05,5.762491996968003e-73,27,837,3.1424586795759435,nullverdi
E1 felles sesong,sent_post,0.007492527425934361,0.003569048393594274,0.045647435999706415,27,837,0.7520666643600071,nullverdi
E1 felles sesong,sent_dose,0.02394858824828323,0.005002989889294408,5.899011557811569e-05,27,837,2.4237658684774788,nullverdi
E1 sesong per kohort,tidlig_post,0.031449858825814525,1.949300439283345e-05,1.5262994287233796e-66,27,837,3.1949631132187406,nullverdi
E1 sesong per kohort,sent_post,0.004323733868871212,0.005447262093323497,0.4345290612444826,27,837,0.43330946925299596,nullverdi
E1 sesong per kohort,sent_dose,0.029487694969388727,0.007642071918136024,0.0006752753694374476,27,837,2.9926762113583694,nullverdi
