modell,term,koef,se,p,pst,N
Bestilt (alle) vs ikke,bestilt:post,0.05891726203411693,0.028053672164756023,0.03571457470483545,6.068747798518692,837
Tidlig / sent vs ikke,tidlig:post,0.06147989300792759,0.028930791650891456,0.033580958124411815,6.340911435520269,837
Tidlig / sent vs ikke,sent:post,0.05562990887179657,0.02930452561457417,0.05765150687544513,5.720634863594287,837
"Bestilt vs ikke, NO1",bestilt:post,0.06952818546684436,0.046107144212479585,0.13156223190185862,7.200227566356232,279
"Bestilt vs ikke, NO2",bestilt:post,0.0447208111700379,0.029210927912149,0.12577886445478217,4.573586137766217,279
"Bestilt vs ikke, NO5",bestilt:post,0.0438947617880725,0.025570991037064145,0.08605515283263665,4.487238860034881,279
