pa,Bestilt sent,Bestilt tidlig,Ikke bestilt,bestilt_alle,forskjell_pst
NO1,1256.3009551414002,1387.1432942922272,821.1280085275571,1329.534723549624,61.91564649386878
NO2,1220.3512723035346,1347.5721664465468,927.1009770737713,1300.7487343529917,40.302811292311745
NO5,1279.3131454402796,1372.3792034687272,941.4862438847211,1319.4896370156023,40.149645901482245
