gruppe,maned,koef,se,pst
bestilt,2025-10,0.026963632973308938,0.013475853227995297,2.7330441130554606
bestilt,2025-11,0.03291842707766534,0.012220955271947893,3.346623294204143
bestilt,2025-12,0.0370005165006896,0.012378372738107454,3.769355680745634
bestilt,2026-01,0.05148584188986183,0.01128781103860225,5.283428004291735
bestilt,2026-02,0.05528334776337793,0.010052523047311402,5.684002551227274
bestilt,2026-03,0.051579837250391655,0.01078019292426628,5.293324623175644
bestilt,2026-04,0.04812353354971534,0.01011041045897686,4.93002711055639
tidlig,2025-10,0.03029002227819701,0.015436622945607185,3.075343206649328
tidlig,2025-11,0.036597957656298356,0.01403575206408967,3.7275908158114657
tidlig,2025-12,0.040622310212519504,0.014591885046931066,4.145868294567578
tidlig,2026-01,0.05532013744194893,0.012521397155350477,5.687890703232723
tidlig,2026-02,0.058471125397299976,0.010733680477564593,6.0214371983852155
tidlig,2026-03,0.05416297589564406,0.01251954087881034,5.565663472165472
tidlig,2026-04,0.04978154968630516,0.011452362703772114,5.1041470957027935
sent,2025-10,0.023173918538762963,0.01694308878597779,2.344452004514608
sent,2025-11,0.028832856773050156,0.015063877933136516,2.925254750515216
sent,2025-12,0.033288516306702806,0.015332776268279627,3.3848778447046257
sent,2026-01,0.04685095811996527,0.013054175341669822,4.796580664555794
sent,2026-02,0.051525639658718446,0.010870181496199807,5.287618133202221
sent,2026-03,0.04877353881157209,0.012670827120946327,4.998254351935771
sent,2026-04,0.046295239323802195,0.011783392284339512,4.738359413726934
