periode,N,b_egd,b_spot,b_innt_1000,b_np,r2_within
hele panelet,10047,0.0018837642266519516,-0.0003676885056547875,0.0008996017210593678,0.09503148043954106,0.9410390187863116
"2022-02–2024-12 (før Norgespris, ingen framskrevet inntekt)",6895,0.0019178885026687454,-0.00037070933410323086,0.0007770231512801601,,0.9480668605434526
2023-01–2026-04,7880,0.0018890369286505375,-0.0004020441490830849,0.001464772379171215,0.08982859739878991,0.9416835391969558
2024-01–2026-04,5516,0.001860469992941441,-0.0002031675012743671,,0.08423144951214513,0.9391179905853473
2022-02–2025-09 (før Norgespris),8668,0.0019119580999855355,-0.0003509166300706159,0.0009344173830273763,,0.9481936857699602
