,koef,se,p,pst_per_10pp
2021/22,0.0002769083499329353,0.00013691886486174643,0.043132302678891454,0.27729209523008613
2022/23,-2.5027494890322288e-05,7.633528036373764e-05,0.7430154400185862,-0.025024363274084305
2023/24,6.688549664929708e-05,4.7522490345407626e-05,0.159294195670731,0.06690786998551079
2024/25,0.0,0.0,,0.0
2025/26,0.0004706272270431571,0.00024674572855793407,0.056476977885285384,0.4717364163436377
