,n_kraftverk,prod_gwh,enekv_kwh_m3,liter_per_kwh,enekv_uveid,avvik_fra_nrk_pst
NO1,151.0,17621.256800000003,0.3021847735798276,3309.2335796854168,0.2545099337748345,131.57687751472474
NO2,397.0,46669.50899999999,0.8133426264030333,1229.4941486375176,0.42855037783375316,-13.961221229005073
NO1+NO2,548.0,64290.7658,0.6732409542911372,1485.3523001328863,0.3805939781021898,3.9434779659122565
NO5,247.0,30103.064999999995,1.4629554452345637,683.5478163449226,0.6434898785425102,-52.16600305493893
Norge,1459.0,138159.3068,0.9020657722089844,1108.5666154378007,0.4698549006168608,-22.423609836403035
