modell,koef,se_kluster,se_driscoll_kraay,p_driscoll_kraay
M1 NRK-lik,0.09503148043954106,0.0069195101514903145,0.017497669354531648,5.7343035431145495e-08
"M1b NRK-lik, per målepunkt",0.08396098030541413,0.006834764594382969,0.016806476787166017,5.961416900124306e-07
M2 + kalendermåned,0.0716580150550681,0.007011817221023949,0.015747757065959208,5.419541473372647e-06
"M2b + kalendermåned, per målepunkt",0.060694373840678904,0.006891561604498075,0.014663845170982693,3.516571247641487e-05
M5 placebo 2024-10 (data ≤ 2025-09),0.05090808067379527,0.0023233257157117236,0.016787289777039673,0.002432414802954419
"M5b placebo, per målepunkt",0.04349678744788255,0.0020923113477204665,0.01749392150022255,0.0129236180124499
