maned,koef,se,pst
2023-10,0.006303596386088599,0.02791576332499323,0.6323505861569378
2023-11,0.014507019543489912,0.03839145640868445,1.461275704477516
2023-12,0.02949662879977902,0.045809168959164925,2.993596334569193
2024-01,0.02583017597009222,0.047563650920213744,2.6166665916614873
2024-02,0.01560203368101634,0.04614348588271254,1.5724380868680443
2024-03,0.001853150996767785,0.04146479171242781,0.18548691422399788
2024-04,0.004658608843808341,0.034837716715399585,0.4669477032313907
2024-05,-0.027166156082966388,0.013328697270111859,-2.680047493140769
2024-06,-0.024241420787623275,0.017224755585059377,-2.3949957458458626
2024-07,-0.053225473951272945,0.030174025952588553,-5.183379840112634
2024-08,-0.02404816262702337,0.023481688918653192,-2.3761309594301117
2024-09,-0.014371054917342465,0.007994743083691734,-1.4268284204492998
2024-10,0.0005462047867746783,0.023576137286923288,0.05463539837720077
2024-11,0.01931066955815176,0.03796523110538636,1.9498326518405218
2024-12,0.030045869706720418,0.043995457991118966,3.0501801684848173
2025-01,0.03135662529554707,0.04721466293064759,3.185342330998586
2025-02,0.024528285708632847,0.049234333444920814,2.4831578784663355
2025-03,0.014795598402505567,0.04141587448497428,1.4905595087947754
2025-04,0.003811059237638142,0.0290349435156405,0.38183305581045435
2025-05,-0.002077358025262687,0.01006684380701376,-0.2075201810415317
2025-06,-0.012401495294480177,0.0086803784863715,-1.2324913654224612
2025-07,-0.04778366336264639,0.03136350296256479,-4.665999285837752
2025-08,-0.009592338229517475,0.016502008161677684,-0.9546478504299793
2025-09,0.0,0.0,0.0
2025-10,0.03038853678980913,0.03063065729775973,3.085498123939723
2025-11,0.04982726893355682,0.04235075575821861,5.108952488039664
2025-12,0.06677176544583971,0.047838183820102784,6.90514558460964
2026-01,0.0800792394222444,0.054077005546082565,8.337291011733372
2026-02,0.07534850245039032,0.05533217918705226,7.825986161670451
2026-03,0.05990420855063937,0.04698129137366763,6.173483655513334
2026-04,0.05235836806596986,0.03885767048188986,5.375330639032616
