stratum,did_log,placebo_log,ddd_log,did_percent,placebo_percent,ddd_percent
NO1 | Household High,0.024264757571030426,-0.003927955839309548,0.028192713410339975,2.456154241000439,-0.3920251511492624,2.8593889158690824
NO1 | Household Low,0.041911237636210755,-0.010502983317921837,0.05241422095413259,4.2801913079881215,-1.0448019584662138,5.3812163199545235
NO1 | Household Medium,0.02908792957878381,-0.008290499244557577,0.037378428823341386,2.9515115325784524,-0.825622783013661,3.8085788099561415
NO2 | Household High,0.0319174005042158,-0.004239833312406933,0.03615723381662273,3.2432223401961444,-0.42308579083679454,3.681885666121154
NO2 | Household Low,0.051746655577970924,0.006577797306674858,0.04516885827129607,5.310890944646001,0.6599478527534611,4.620450527846481
NO2 | Household Medium,0.03600565054208397,-0.0046017449924841865,0.04060739553456816,3.6661704174960446,-0.4591173186464743,4.144315004065448
NO5 | Household High,0.019493227847676844,-0.005336130773872996,0.02482935862154984,1.9684461378781923,-0.532191891806567,2.514017426587663
NO5 | Household Low,0.043001847697836604,-0.009609718154840564,0.052611565852677164,4.393982373418445,-0.9563692362951133,5.40201481756889
NO5 | Household Medium,0.028990207845043553,-0.006904790050811448,0.035894997895855,2.9414514239339438,-0.6881006759016658,3.6547001160362336
