month,effect_log,n_strata,effect_percent,post
2024-10-01,-0.01253816393104289,9.0,-1.245988863800882,False
2024-11-01,-0.003959670999455399,9.0,-0.39518418392851756,False
2024-12-01,-0.009494166893862411,9.0,-0.944923958623114,False
2025-01-01,-0.005609074416661678,9.0,-0.559337292940964,False
2025-02-01,-0.0021729479042377556,9.0,-0.217058876201425,False
2025-03-01,0.002055365464747926,9.0,0.20574791762465633,False
2025-04-01,-0.005689044739045215,9.0,-0.5672892768300846,False
2025-05-01,-0.002723090386948966,9.0,-0.271938613941769,False
2025-06-01,-0.004339474033855764,9.0,-0.43300721211124854,False
2025-07-01,0.002913274787336097,9.0,0.2917522496242169,False
2025-08-01,0.0012417247219860023,9.0,0.12424959813261587,False
2025-09-01,0.0036454389227766294,9.0,0.36520916167866324,False
2025-10-01,0.016396670456307605,9.0,1.6531833588602667,True
2025-11-01,0.020639884484919747,9.0,2.0854359942107656,True
2025-12-01,0.02842286507245535,9.0,2.8830648996212385,True
2026-01-01,0.04208174448705498,9.0,4.297973310947063,True
2026-02-01,0.04638760697563343,9.0,4.748034296858879,True
2026-03-01,0.036944334864021905,9.0,3.763525912272039,True
2026-04-01,0.0377900898851275,9.0,3.851321556890233,True
