period,wedge_bin_nok_kwh,effect_log,effect_percent,mean_wedge_nok_kwh,n_hour_strata
Norgespris 2025–26,≤ 0,0.008472821749598958,0.850881769438602,-0.21138629440101467,1767
Norgespris 2025–26,0–0.25,0.016615209993943596,1.6754010261816852,0.15875545352280124,3783
Norgespris 2025–26,0.25–0.50,0.0314096368249226,3.190812488794133,0.3882189100164948,39651
Norgespris 2025–26,0.50–0.75,0.04200750427119854,4.290230494312814,0.5492232170805597,591
Placebo 2024–25,≤ 0,0.005408531856713307,0.5423184369419406,-0.12193052596844242,11445
Placebo 2024–25,0–0.25,0.0009712934061510646,0.09717652643500337,0.11432108613397338,23328
Placebo 2024–25,0.25–0.50,0.0006660118288015539,0.06662336639251444,0.3725468890325426,10569
Placebo 2024–25,0.50–0.75,-0.005916048289604885,-0.5898582934856438,0.5718237720774383,393
Placebo 2024–25,> 0.75,-0.034572631562653,-3.3981826271118267,0.8774224049426785,51
