modell,term,koef,se,prosent,n,klustre,maal_koef_til_godkjenning,maal_se_til_godkjenning,avvik_koef,avvik_se
D7,bestilt_post,0.029880493831513134,0.0028396513037476263,3.033139563840482,837,27,0.02988,0.00284,4.938315131333693e-07,-3.48696252373739e-07
D7 tidlig/sent,tidlig_post,0.03094415044645852,0.0029866057385466186,3.1427897490306873,837,27,0.03094,0.00299,4.1504464585208345e-06,-3.394261453381394e-06
D7 tidlig/sent,sent_post,0.028610176711826203,0.003201503606696982,2.902337900143396,837,27,0.02861,0.0032,1.7671182620318526e-07,1.5036066969816367e-06
D7 placebo,bestilt_post,-0.001899285898546231,0.0012443358243191492,-0.1897483396420238,648,27,-0.0019,0.00124,7.141014537689633e-07,4.33582431914924e-06
M1,post_np,0.09503148043954106,0.0069195101514903145,9.969347341510414,10047,197,0.095,0.0069,3.1480439541056726e-05,1.9510151490314577e-05
M5,post_np,0.05090808067379527,0.0023233257157117236,5.222616891739089,8668,197,0.0509,0.0023,8.080673795270166e-06,2.332571571172365e-05
