maned,enkelt_snitt,n_mp_vektet,harmonisk_vektet,antall_statuskontraster
2025-10,0.010440657631879353,0.008826242113303613,0.009343362563836655,18.0
2025-11,0.018518722471773132,0.01681169768932668,0.017362889018226874,18.0
2025-12,0.022298975101749077,0.021793320877754502,0.02123502567495782,18.0
2026-01,0.03835138372650647,0.03695297022665266,0.038281621799633986,18.0
2026-02,0.044084324229225084,0.04332518047175855,0.045499715056044776,18.0
2026-03,0.03793723451779539,0.03705350173214944,0.03811348714888557,18.0
2026-04,0.035923114571189525,0.034604330372177805,0.03602730641854053,18.0
