modell,utelatt_g,utelatt_status,koef,se,p_t,full_koef,avvik_fra_full,n,klustre,matriserang
D7,NO1|Bestilt sent|Husholdning Høy,Bestilt sent,0.02993273044665301,0.0028408822116508864,1.1054618220667404e-10,0.029880493831513134,5.223661513987718e-05,806,26,330
D7,NO1|Bestilt sent|Husholdning Lav,Bestilt sent,0.030030108946036194,0.003138119063927097,7.734827184948871e-10,0.029880493831513134,0.00014961511452305995,806,26,330
D7,NO1|Bestilt sent|Husholdning Medium,Bestilt sent,0.030572841189787425,0.002729339587130694,3.096586655122142e-11,0.029880493831513134,0.0006923473582742916,806,26,330
D7,NO1|Bestilt tidlig|Husholdning Høy,Bestilt tidlig,0.030184191933614102,0.0027963062103791066,6.707895739401435e-11,0.029880493831513134,0.0003036981021009681,806,26,330
D7,NO1|Bestilt tidlig|Husholdning Lav,Bestilt tidlig,0.02899691545637495,0.0028378006491766683,2.0708106218548124e-10,0.029880493831513134,-0.0008835783751381839,806,26,330
D7,NO1|Bestilt tidlig|Husholdning Medium,Bestilt tidlig,0.029904352195778472,0.002983257648528457,3.05454561643887e-10,0.029880493831513134,2.3858364265338244e-05,806,26,330
D7,NO1|Ikke bestilt|Husholdning Høy,Ikke bestilt,0.03105958421420496,0.003047658929271242,2.1844254011788217e-10,0.029880493831513134,0.0011790903826918268,806,26,330
D7,NO1|Ikke bestilt|Husholdning Lav,Ikke bestilt,0.028668979376007542,0.0033378995750979433,6.282802321182437e-09,0.029880493831513134,-0.001211514455505592,806,26,330
D7,NO1|Ikke bestilt|Husholdning Medium,Ikke bestilt,0.03158310402167075,0.003104865127909024,2.269564382266224e-10,0.029880493831513134,0.0017026101901576156,806,26,330
D7,NO2|Bestilt sent|Husholdning Høy,Bestilt sent,0.029854232292180427,0.002853007106030509,1.2734518010139597e-10,0.029880493831513134,-2.6261539332706613e-05,806,26,330
D7,NO2|Bestilt sent|Husholdning Lav,Bestilt sent,0.02982330244713438,0.0028663989033965785,1.4318841468478886e-10,0.029880493831513134,-5.7191384378752624e-05,806,26,330
D7,NO2|Bestilt sent|Husholdning Medium,Bestilt sent,0.030203881396438703,0.0029001520310497795,1.4036062552828323e-10,0.029880493831513134,0.0003233875649255695,806,26,330
D7,NO2|Bestilt tidlig|Husholdning Høy,Bestilt tidlig,0.02992021065791306,0.0028874955775484218,1.556863922599287e-10,0.029880493831513134,3.9716826399926325e-05,806,26,330
D7,NO2|Bestilt tidlig|Husholdning Lav,Bestilt tidlig,0.028741758432190068,0.0023160525195031665,3.485031110093666e-12,0.029880493831513134,-0.001138735399323066,806,26,330
D7,NO2|Bestilt tidlig|Husholdning Medium,Bestilt tidlig,0.029398529599831136,0.002892489557675024,2.3079085189798264e-10,0.029880493831513134,-0.0004819642316819979,806,26,330
D7,NO2|Ikke bestilt|Husholdning Høy,Ikke bestilt,0.02985194386349832,0.0030671963163315494,5.524582012022919e-10,0.029880493831513134,-2.854996801481338e-05,806,26,330
D7,NO2|Ikke bestilt|Husholdning Lav,Ikke bestilt,0.027738019041002815,0.0022384643830065396,3.5978600204651368e-12,0.029880493831513134,-0.0021424747905103188,806,26,330
D7,NO2|Ikke bestilt|Husholdning Medium,Ikke bestilt,0.029741138547443313,0.003181550451187691,1.2278874764228946e-09,0.029880493831513134,-0.00013935528406982048,806,26,330
D7,NO5|Bestilt sent|Husholdning Høy,Bestilt sent,0.02998652852291883,0.0028504345259253616,1.1415315168535693e-10,0.029880493831513134,0.00010603469140569796,806,26,330
D7,NO5|Bestilt sent|Husholdning Lav,Bestilt sent,0.029816655303427808,0.0029026443834300666,1.859499825628293e-10,0.029880493831513134,-6.383852808532556e-05,806,26,330
D7,NO5|Bestilt sent|Husholdning Medium,Bestilt sent,0.030098023689490105,0.0028940531799347734,1.44460936280059e-10,0.029880493831513134,0.00021752985797697175,806,26,330
D7,NO5|Bestilt tidlig|Husholdning Høy,Bestilt tidlig,0.02998849002506887,0.002845348554532442,1.0988821484366297e-10,0.029880493831513134,0.0001079961935557365,806,26,330
D7,NO5|Bestilt tidlig|Husholdning Lav,Bestilt tidlig,0.02975072911903709,0.0028666386896731223,1.5076929861257145e-10,0.029880493831513134,-0.0001297647124760444,806,26,330
D7,NO5|Bestilt tidlig|Husholdning Medium,Bestilt tidlig,0.029880765365398076,0.0028777226200883835,1.4922756636062023e-10,0.029880493831513134,2.7153388494280395e-07,806,26,330
D7,NO5|Ikke bestilt|Husholdning Høy,Ikke bestilt,0.030458493312892188,0.002945923111777277,1.628546160881103e-10,0.029880493831513134,0.0005779994813790539,806,26,330
