maned,term,koef,se,prosent,p_t26,ki95_log_lav,ki95_log_hoy
2024-10,evt_202410,-0.011431816807047263,0.0024397178758153947,-1.136672187652522,7.70530193514733e-05,-0.016446728722769068,-0.00641690489132546
2024-11,evt_202411,-0.0031246187770149316,0.0014456610593319777,-0.3119742236196678,0.040055305520093336,-0.006096217642771454,-0.0001530199112584089
2024-12,evt_202412,-0.008633463674740173,0.0018785622387197671,-0.8596302347780976,9.770427406571537e-05,-0.012494903658751517,-0.0047720236907288285
2025-01,evt_202501,-0.004775968570339843,0.001670206870202566,-0.476458176733097,0.008254437673887248,-0.008209127960664794,-0.0013428091800148914
2025-02,evt_202502,-0.0009593470605194331,0.0015992811801882685,-0.09588870342482132,0.5537910995723786,-0.0042467166070639375,0.0023280224860250717
2025-03,evt_202503,0.0022174508594987857,0.001206536166299294,0.22199112218974035,0.07753569942109297,-0.0002626197491167274,0.004697521468114299
2025-04,evt_202504,-0.006702348254885146,0.004234362578565695,-0.6679937614743793,0.12554605476939965,-0.015406205189014682,0.002001508679244389
2025-05,evt_202505,0.0018456598552485514,0.003011062165643839,0.18473641337440377,0.5452278951261016,-0.004343667067816126,0.008034986778313229
2025-06,evt_202506,-0.0005615549449862633,0.0022767275979124297,-0.05613973025178273,0.8071161281626748,-0.005241435546265939,0.004118325656293412
2025-07,evt_202507,0.0028085585093744424,0.0011634249337290992,0.2812506204737387,0.02311624443129259,0.00041710430844314446,0.00520001271030574
2025-08,evt_202508,0.0022388540524452914,0.0016012107898264445,0.2241362157590554,0.173859701360001,-0.001052481863515573,0.005530189968406155
2025-09,evt_202509,0.004287178804565137,0.0022094915125827593,0.42963819026920247,0.06325519271905708,-0.0002544960439802967,0.00882885365311057
