modell,koef,se,prosent,p_t,klustre,ki95_log_lav,ki95_log_hoy,ki95_prosent_lav,ki95_prosent_hoy
WLS_g,0.029880493831513134,0.0028396513037476263,3.033139563840482,7.263361165600548e-11,27,0.02404350698117927,0.035717480681847,2.433488263963593,3.6363012555583425
OLS_g,0.02965063032145765,0.002961181396609308,3.009458726512765,2.063005979233956e-10,27,0.023563834787565595,0.035737425855349704,2.3843655502902967,3.6383683201819763
WLS_omraade_klasse,0.029880493831513134,0.003908721781966257,3.033139563840482,6.0476220241577344e-05,9,0.02086696523893635,0.038894022424089916,2.108620264241579,3.966029713355082
WLS_omraade,0.029880493831513134,0.004171307847417476,3.033139563840482,0.018936290983545337,3,0.011932804735196981,0.04782818292782928,1.2004284685432651,4.8990405379717545
