maned,post,informasjonsvekt,beta_bidrag,x_tilde_vektet,y_tilde_vektet
2023-10,0,0.023809530368517004,-0.00017887748894850324,-0.656638821033809,-0.23575010633123838
2023-11,0,0.02380953036851643,0.0003099903086081332,-0.6566388210452416,0.7258809778350042
2023-12,0,0.023809530368516744,0.00019755648136167783,-0.6566388210429928,1.0270057332758142
2024-01,0,0.023809530368516862,0.00075814368545949,-0.6566388210574843,1.044783861586211
2024-02,0,0.023809530368516813,0.0010710620018347086,-0.6566388210474123,1.0892769957738437
2024-03,0,0.023809521963047062,0.000998363590246591,-0.6566588685489165,1.2329447909344253
2024-04,0,0.02380953036851791,0.0006306201138935245,-0.6566388210237903,0.797733355688024
2024-05,0,2.218792542859118e-14,8.226684743620922e-10,-2.721803359873043e-05,-2.501928695917229
2024-06,0,2.2187910153102906e-14,9.181818643087621e-10,-2.7218002746520753e-05,-2.940525224090152
2024-07,0,2.218789864600808e-14,1.6772734819939817e-09,-2.721803238703302e-05,-4.097320756499357
2024-08,0,2.218790590599829e-14,1.0603528604753843e-09,-2.721805431549207e-05,-3.1693304794857795
2024-09,0,2.218768006226977e-14,7.731377801526905e-10,-2.721936666061353e-05,-2.3392756094123115
2024-10,0,0.023809494616412914,0.0006376809755888014,-0.6560383823980729,-0.7662349453008801
2024-11,0,0.023809494616412345,0.0005331771275172389,-0.6560383823874858,0.5661065940007575
2024-12,0,0.023809494616412654,0.0008142321958649829,-0.6560383824062228,0.5961405713647991
2025-01,0,0.023809494616412772,0.0010992831026278987,-0.6560383823995082,0.9854265302624299
2025-02,0,0.02380949461641273,0.0011395853534522534,-0.656038382401519,1.4400118238811501
2025-03,0,0.023809511427353554,0.0008399741432769673,-0.6560581978840005,1.3418305547145337
2025-04,0,0.023809494616413823,0.0011093586914275168,-0.6560383823841605,-0.6113356638497862
2025-05,0,2.2187671088674356e-14,7.035317531556631e-10,-2.7219693253588417e-05,0.5935934885926031
2025-06,0,2.218767108936529e-14,1.0429841717592827e-09,-2.72197526314244e-05,-0.8126121645469766
2025-07,0,2.2187671089375363e-14,1.7975467255541031e-09,-2.721966194996206e-05,-4.022960207685685
2025-08,0,2.2187667366912436e-14,1.2194905778790735e-09,-2.721976574648899e-05,-2.5262194612004123
2025-09,0,2.2187671088639965e-14,8.785810701668954e-10,-2.7219425349889192e-05,-0.8821452458258818
2025-10,1,0.09523812147453,0.0009176089989366195,1.3122007836112317,0.5568311590134272
2025-11,1,0.09523812147453115,0.0016863393490895162,1.3122007836013054,1.4853611823630217
2025-12,1,0.09523812147453052,0.0020235822543336014,1.3122007836053626,0.45425403484966864
2026-01,1,0.09523812147453029,0.00371486031699886,1.312200783597632,2.6656927495434957
2026-02,1,0.09523812147453038,0.004421301962682402,1.3122007835959977,3.703619149042538
2026-03,1,0.09523808785261796,0.0036766785941842583,1.3121809681174739,2.6842676865735484
2026-04,1,0.09523812147452819,0.0034799611793277603,1.3122007836213427,1.9146870698737075
